STK_CODE	IDX_CODE	DATE	NEW_SHARES	NXT_FREE_FLOAT	NXT_CAPPING	ADJ_CLOSE	INTRO	REMOVAL	TO_ADJUST	EVENT_CODE	IDX_SG 
DPM	PVN10PRVND	9/13/2012	583153266	100	100	84					
PVX	PVN10PRVND	9/13/2012	389740215	100	100	23					
PVD	PVN10PRVND	9/13/2012	980000000	100	100	16					
PVI	PVN10PRVND	9/13/2012	597802094	100	100	14					
PET	PVN10PRVND	9/13/2012	150000000	100	100	22					
PVS	PVN10PRVND	9/13/2012	57531264	100	100	16					
PGS	PVN10PRVND	9/13/2012	142900000	100	100	26					
PVC	PVN10PRVND	9/13/2012	156000000	100	100	37.7					
PGD	PVN10PRVND	9/13/2012	132600000	100	100	12.3					
PVF	PVN10PRVND	9/13/2012	197802094	100	100	10.9					
PTT	PVN10PRVND	9/13/2012	10000000	100	100	10.8	1				
NT2	PVN10PRVND	9/13/2012	756000000	90	90	55	1				
PCT	PVN10PRVND	9/13/2012	138000000	100	100	5.8	1				
PPE	PVN10PRVND	9/13/2012	27719850	100	100	14.7	1				
PVT	PVN10PRVND	9/13/2012	232600000	100	100	23.6	1				
PTL	PVN10PRVND	9/13/2012	15000000	100	100	38	1				
