id	IDX_CODE	IDX_NAME	IDX_CURR	IDX_BASE	IDX_TYPE	IDX_MOTHER	IDX_DIVISOR	IDX_MCAP	IDX_LAST	DATES	TIMES	RECORDS	CALCULS	PUBLICATIONS	IDX_PLAST	IDX_DCAP	TO_ADJUST	IDX_MCAP_NXT	IDX_DIVISOR_NXT	IDX_BBS	IDX_CONV	NXT_DATES
19990	PVN10PRVND	PVN 10 	VND	1000	P	PVN10PRVND	3E+13	5.92438E+13	1974.79	9/13/2012	0:00:00	10	1	0	970.28	0	0	  	  	Blue Chips	1	
19991	PVN10PRUSD	PVN 10 (USD)	USD	1000	P	PVN10PRVND	1428571429	2706430905	1894.5	9/13/2012	0:00:00	10	1	0	976.1	0	0	  	  	Blue Chips	21890	
19992	PVN10PRJPY	PVN 10 (JPY)	JPY	1000	P	PVN10PRVND	1.13208E+11	2.10084E+11	1855.74	9/13/2012	0:00:00	10	1	0	952.02	0	0	  	  	Blue Chips	282	
19993	PVN10PREUR	PVN 10 (EUR)	EUR	1000	P	PVN10PRVND	1034482759	1987333819	1921.09	9/13/2012	0:00:00	10	1	0	976.98	0	0	  	  	Blue Chips	29810.68	
19994	PVN10TRVND	PVN 10 TR 	VND	1000	R	PVN10PRVND	3E+13	5.92438E+13	2037.02	9/13/2012	0:00:00	10	1	0	1000.85	0	0	  	  	Blue Chips	1	
19995	PVN10TRUSD	PVN 10 TR (USD)	USD	1000	R	PVN10PRVND	1.42857E+12	2706430905	1943.48	9/13/2012	0:00:00	10	1	0	1001.33	0	0	  	  	Blue Chips	21890	
19996	PVN10TRJPY	PVN 10 TR (JPY)	JPY	1000	R	PVN10PRVND	1.13208E+11	2.10084E+11	1953.39	9/13/2012	0:00:00	10	1	0	1002.11	0	0	  	  	Blue Chips	282	
19997	PVN10TREUR	PVN 10 TR (EUR)	EUR	1000	R	PVN10PRVND	1.03448E+12	1987333819	1969.24	9/13/2012	0:00:00	10	1	0	1001.46	0	0	  	  	Blue Chips	29810.68	
19998	PVNASPRVND	PVN ALLSHARE 	VND	1000	P	PVNASPRVND	3.5E+13	5.03155E+13	1437.58	9/13/2012	0:00:00	30	1	0	1062.8	0	1	#REF!	#REF!	Benchmark	1	
19999	PVNASPRUSD	PVN ALLSHARE (USD)	USD	1000	P	PVNASPRVND	1666666667	2298559494	1379.14	9/13/2012	0:00:00	30	1	0	1069.23	0	1	#REF!	#REF!	Benchmark	21890	
20000	PVNASPRJPY	PVN ALLSHARE (JPY)	JPY	1000	P	PVNASPRVND	1.32075E+11	1.78424E+11	1350.92	9/13/2012	0:00:00	30	1	0	1043.57	0	1	#REF!	#REF!	Benchmark	282	
20001	PVNASPREUR	PVN ALLSHARE (EUR)	EUR	1000	P	PVNASPRVND	1206896552	1687833599	1398.49	9/13/2012	0:00:00	30	1	0	1070.69	0	1	#REF!	#REF!	Benchmark	29810.68	
20002	PVNASTRVND	PVN ALLSHARE TR 	VND	1000	R	PVNASPRVND	3.5E+13	5.03155E+13	1723.08	9/13/2012	0:00:00	30	1	0	1273.87	0	0	  	  	Benchmark	1	
20003	PVNASTRUSD	PVN ALLSHARE TR (USD)	USD	1000	R	PVNASPRVND	1.66667E+12	2298559494	1643.75	9/13/2012	0:00:00	30	1	0	1274.38	0	0	  	  	Benchmark	21890	
20004	PVNASTRJPY	PVN ALLSHARE TR (JPY)	JPY	1000	R	PVNASPRVND	1.32075E+11	1.78424E+11	1653.05	9/13/2012	0:00:00	30	1	0	1276.96	0	0	  	  	Benchmark	282	
20005	PVNASTREUR	PVN ALLSHARE TR (EUR)	EUR	1000	R	PVNASPRVND	1.2069E+12	1687833599	1671.37	9/13/2012	0:00:00	30	1	0	1279.6	0	0	  	  	Benchmark	29810.68	
20006	PVNCOPRVND	PVN ALL SHARE CONTINUOUS	VND	1000	P	PVNCOPRVND	3E+13	3.82732E+13	1275.77	9/13/2012	0:00:00	26	1	0	1179.18	0	0	  	  	Benchmark	1	
20007	PVNCOPRUSD	PVN ALL SHARE CONTINUOUS (USD)	USD	1000	P	PVNCOPRVND	1428571429	1748431900	1223.9	9/13/2012	0:00:00	26	1	0	1186.54	0	0	  	  	Benchmark	21890	
20008	PVNCOPRJPY	PVN ALL SHARE CONTINUOUS (JPY)	JPY	1000	P	PVNCOPRVND	1.13208E+11	1.3572E+11	1198.86	9/13/2012	0:00:00	26	1	0	1157.5	0	0	  	  	Benchmark	282	
20009	PVNCOPREUR	PVN ALL SHARE CONTINUOUS (EUR)	EUR	1000	P	PVNCOPRVND	1034482759	1283874581	1241.08	9/13/2012	0:00:00	26	1	0	1187.13	0	0	  	  	Benchmark	29810.68	
20010	PVNCOTRVND	PVN ALL SHARE TR CONTINUOUS	VND	1000	R	PVNCOPRVND	3E+13	3.82732E+13	1379.42	9/13/2012	0:00:00	26	1	0	1274.98	0	0	  	  	Benchmark	1	
20011	PVNCOTRUSD	PVN ALL SHARE TR CONTINUOUS (USD)	USD	1000	R	PVNCOPRVND	1.42857E+12	1748431900	1314.2	9/13/2012	0:00:00	26	1	0	1274.08	0	0	  	  	Benchmark	21890	
20012	PVNCOTRJPY	PVN ALL SHARE TR CONTINUOUS (JPY)	JPY	1000	R	PVNCOPRVND	1.13208E+11	1.3572E+11	1057.37	9/13/2012	0:00:00	26	1	0	1020.88	0	0	  	  	Benchmark	282	
20013	PVNCOTREUR	PVN ALL SHARE TR CONTINUOUS (EUR)	EUR	1000	R	PVNCOPRVND	1.03448E+12	1283874581	1067.37	9/13/2012	0:00:00	26	1	0	1020.97	0	0	  	  	Benchmark	29810.68	
20014	PVNHSXPRVND	PVN ALLSHARE HSX 	VND	1000	P	PVNHSXPRVND	2.5E+13	4.40405E+13	1761.62	9/13/2012	0:00:00	11	1	0	1079.52	0	0	  	  	Benchmark	1	
20015	PVNHSXPRUSD	PVN ALLSHARE HSX (USD)	USD	1000	P	PVNHSXPRVND	1190476190	2011899717	1690	9/13/2012	0:00:00	11	1	0	1086.46	0	0	  	  	Benchmark	21890	
20016	PVNHSXPRJPY	PVN ALLSHARE HSX (JPY)	JPY	1000	P	PVNHSXPRVND	94339622642	1.56172E+11	1655.42	9/13/2012	0:00:00	11	1	0	1059.52	0	0	  	  	Benchmark	282	
20017	PVNHSXPREUR	PVN ALLSHARE HSX (EUR)	EUR	1000	P	PVNHSXPRVND	862068965.5	1477339155	1713.71	9/13/2012	0:00:00	11	1	0	1086.86	0	0	  	  	Benchmark	29810.68	
