DATE	YYYYMMDD	YYYYMM	YYYY	MARKET	VLM	TRN
2012/12/07	20121207	201212	2012	HSX	102265020	1095228000000
2012/12/07	20121207	201211	2012	HSX	485631170	5829817000000
2012/12/07	20121207	201210	2012	HSX	680104640	8402172000000
2012/12/07	20121207	201209	2012	HSX	599488380	8749642000000
2012/12/07	20121207	201208	2012	HSX	842588390	12801689000000
2012/12/07	20121207	201207	2012	HSX	792397610	10741217000000
2012/12/07	20121207	201206	2012	HSX	998034370	14619275000000
2012/12/07	20121207	201205	2012	HSX	1767330680	27199464000000
2012/12/07	20121207	201204	2012	HSX	1552816170	22432276000000
2012/12/07	20121207	201203	2012	HSX	1747390040	24520232000000
2012/12/07	20121207	201202	2012	HSX	944612500	12945667000000
2012/12/07	20121207	201201	2012	HSX	313346690	4137773000000
2012/12/07	20121207	201112	2011	HSX	564180490	7717110000000
2012/12/07	20121207	201111	2011	HSX	491858260	6911454000000
2012/12/07	20121207	201110	2011	HSX	509480220	7724304000000
2012/12/07	20121207	201109	2011	HSX	918137590	14425684000000
2012/12/07	20121207	201108	2011	HSX	530200390	8275312000000
2012/12/07	20121207	201107	2011	HSX	322880480	5487915000000
2012/12/07	20121207	201106	2011	HSX	637480540	10761909000000
2012/12/07	20121207	201105	2011	HSX	434630330	8320362000000
2012/12/07	20121207	201104	2011	HSX	363274620	7488052000000
2012/12/07	20121207	201103	2011	HSX	673651460	14629405000000
2012/12/07	20121207	201102	2011	HSX	499597750	11624194000000
2012/12/07	20121207	201101	2011	HSX	595127390	14818365000000
2012/12/07	20121207	201012	2010	HSX	1415041460	32779490000000
2012/12/07	20121207	201011	2010	HSX	611637540	13220420000000
2012/12/07	20121207	201010	2010	HSX	563849080	13988468000000
2012/12/07	20121207	201009	2010	HSX	814450910	21134348000000
2012/12/07	20121207	201008	2010	HSX	794424740	20817588000000
2012/12/07	20121207	201007	2010	HSX	864749070	25108338000000
2012/12/07	20121207	201006	2010	HSX	966105990	29895638000000
2012/12/07	20121207	201005	2010	HSX	1151170860	39086207000000
2012/12/07	20121207	201004	2010	HSX	1077849360	42044395000000
2012/12/07	20121207	201003	2010	HSX	1069866480	45821526000000
2012/12/07	20121207	201002	2010	HSX	348823940	15527987000000
2012/12/07	20121207	201001	2010	HSX	808645520	36101080000000
2012/12/07	20121207	200912	2009	HSX	889005090	35805427000000
2012/12/07	20121207	200911	2009	HSX	1015363560	49056733000000
2012/12/07	20121207	200910	2009	HSX	1620619550	81792016000000
2012/12/07	20121207	200909	2009	HSX	1365131170	66198655000000
2012/12/07	20121207	200908	2009	HSX	1052763080	42420705000000
2012/12/07	20121207	200907	2009	HSX	705398790	26775982000000
2012/12/07	20121207	200906	2009	HSX	1053445480	29895638000000
2012/12/07	20121207	200905	2009	HSX	936205490	39086207000000
2012/12/07	20121207	200904	2009	HSX	662642560	42044395000000
2012/12/07	20121207	200903	2009	HSX	367209940	45821526000000
2012/12/07	20121207	200902	2009	HSX	146673880	15527987000000
2012/12/07	20121207	200901	2009	HSX	104916120	36101080000000
2012/12/07	20121207	200812	2008	HSX	219177500	35805427000000
2012/12/07	20121207	200811	2008	HSX	271537710	49056733000000
2012/12/07	20121207	200810	2008	HSX	317169710	9705117000000
2012/12/07	20121207	200809	2008	HSX	392405310	14914819000000
2012/12/07	20121207	200808	2008	HSX	414593310	16532365000000
2012/12/07	20121207	200807	2008	HSX	312167500	10986207000000
2012/12/07	20121207	200806	2008	HSX	136208620	4053335000000
2012/12/07	20121207	200805	2008	HSX	54272210	2526458000000
2012/12/07	20121207	200804	2008	HSX	126875030	6218647000000
2012/12/07	20121207	200803	2008	HSX	206543760	11769517000000
2012/12/07	20121207	200802	2008	HSX	137588960	10005693000000
2012/12/07	20121207	200801	2008	HSX	163777670	14191361000000
2012/12/07	20121207	200712	2007	HSX	131923180	13404518000000
2012/12/07	20121207	200711	2007	HSX	208420510	22113916000000
2012/12/07	20121207	200710	2007	HSX	281227860	29729659000000
2012/12/07	20121207	200709	2007	HSX	150850000	13555317000000
2012/12/07	20121207	200708	2007	HSX	102675680	10528844000000
2012/12/07	20121207	200707	2007	HSX	94252350	10124279000000
2012/12/07	20121207	200706	2007	HSX	111048600	12649702000000
2012/12/07	20121207	200705	2007	HSX	113528840	15396847000000
2012/12/07	20121207	200704	2007	HSX	77553840	9738748000000
2012/12/07	20121207	200703	2007	HSX	176902610	21347961000000
2012/12/07	20121207	200702	2007	HSX	111347280	13319670000000
2012/12/07	20121207	200701	2007	HSX	155078920	18335164000000
2012/12/07	20121207	200612	2006	HSX	99718460	9733270000000
2012/12/07	20121207	200611	2006	HSX	63971960	4567862000000
2012/12/07	20121207	200610	2006	HSX	44046520	2756806000000
2012/12/07	20121207	200609	2006	HSX	48239210	2642724000000
2012/12/07	20121207	200608	2006	HSX	47666340	2470263000000
2012/12/07	20121207	200607	2006	HSX	26867260	1605098000000
2012/12/07	20121207	200606	2006	HSX	20543430	1127147000000
2012/12/07	20121207	200605	2006	HSX	33505690	2053859000000
2012/12/07	20121207	200604	2006	HSX	46157120	2757370000000
2012/12/07	20121207	200603	2006	HSX	40019550	1796655000000
2012/12/07	20121207	200602	2006	HSX	16004810	638499000000
2012/12/07	20121207	200601	2006	HSX	4836710	158366000000
2012/12/07	20121207	200512	2005	HSX	6131080	216615000000
2012/12/07	20121207	200511	2005	HSX	10203010	363171000000
2012/12/07	20121207	200510	2005	HSX	14664530	469257000000
